"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2528","E02004695","Basingstoke and Deane 021",4724,2,281,156,10,40,3767,252,60,136,20,154.15601,94.156,131.136,3691.76489,-75.235,113.198,53.198,133.866,3724.29492,-42.705,580.36401,520.36401,102.449,3358.63599,-408.36301,927.32098,867.32098,89.602,3074.18188,-692.81799,-0.05018,93053,-0.0314,58224,-0.0326,60475,-0.01383,25646,-0.17263,320239,-0.15385,285410,-0.21618,401040,-0.1974,366211,-41926,-26436,-27839,-12349,-136366,-120876,-260251,-244761,0.01788
"2532","E02004714","Eastleigh 003",3610,4,125,129,5,37,2758,172,94,273,13,184.07899,90.079,261.04199,2691.70093,-66.299,177.85899,83.859,261.12601,2697.96802,-60.032,570.68597,476.686,197.825,2418.02002,-339.98001,852.02399,758.02399,177.94901,2195.396,-562.604,-0.04644,86096,-0.02211,40978,-0.04256,78940,-0.01824,33822,-0.12043,223374,-0.0961,178256,-0.15622,289782,-0.13189,244664,-43707,-20144,-41132,-17569,-109342,-85779,-204591,-181028,0.01518
"2653","E02004831","Winchester 003",3306,6,301,130,3,35,2078,166,104,460,23,156.172,52.172,447.849,2046.80701,-31.193,168.509,64.509,447.41901,2038.83496,-39.165,379.52899,275.52899,387.20401,1920.57605,-157.424,657.75,553.75,326.92599,1750.06396,-327.936,-0.02214,41031,-0.00876,16212,-0.02686,49823,-0.01348,25004,-0.04631,85866,-0.03293,61047,-0.06789,125915,-0.05451,101096,-24147,-9911,-32422,-18186,-50326,-36090,-111859,-97623,0.03266
"2677","E02004749","Gosport 009",2863,2,42,94,13,64,1838,134,373,264,39,508.306,135.306,243.964,1742.32996,-95.67,510.80099,137.80099,248.317,1735.99402,-102.006,853.362,480.362,181.593,1504.05103,-333.94901,953.37201,580.37201,179.502,1421.60706,-416.39301,-0.24212,449145,-0.04035,74820,-0.25636,475596,-0.05459,101271,-0.31198,578771,-0.11021,204446,-0.31672,587566,-0.11495,213241,-140783,-24075,-159904,-43196,-185132,-68424,-226676,-109968,0.00137
"2686","E02003540","Portsmouth 017",4002,1,131,344,44,58,2264,237,380,521,22,626.34601,246.34599,476.41501,2123.04199,-140.95799,570.49298,190.493,480.59201,2162.83301,-101.167,1362.37695,982.37701,324.79999,1707.05298,-556.94702,1510.78796,1130.78796,317.668,1602.04297,-661.95697,-0.15391,285489,-0.05685,105436,-0.12167,225696,-0.02461,45643,-0.31249,579711,-0.21543,399658,-0.28895,536029,-0.19189,355976,-87983,-31397,-77770,-21184,-167483,-110897,-215357,-158771,0.00414
"2687","E02004703","East Hampshire 007",4244,13,260,45,1,27,3502,171,46,154,25,101.107,55.107,148.813,3456.50098,-45.499,68.79,22.79,152.739,3482.15308,-19.847,319.91699,273.91699,122.64,3281.39111,-220.60899,559.43597,513.43597,109.086,3075.19702,-426.80301,-0.03764,69791,-0.02066,38288,-0.02905,53892,-0.01207,22389,-0.08769,162648,-0.0707,131145,-0.14095,261462,-0.12396,229959,-35333,-19930,-27723,-12320,-89165,-73762,-206169,-190766,0.02151
"2702","E02003550","Southampton 002",3830,2,43,338,22,45,2376,299,144,545,16,245.10001,101.1,528.401,2314.24609,-61.754,260.63101,116.631,521.08502,2311.53589,-64.464,698.76801,554.76801,431.478,2055.95703,-320.04401,1101.81702,957.81702,361.302,1808.97205,-567.02802,-0.06034,111877,-0.02378,44080,-0.05005,92836,-0.0135,25039,-0.16804,311713,-0.13149,243916,-0.1954,362465,-0.15885,294668,-43852,-17663,-41417,-15228,-105219,-79030,-183451,-157262,0.02301
"2730","E02004793","New Forest 015",2452,8,267,12,6,19,1730,96,74,219,21,134.453,60.453,207.66299,1686.96204,-43.038,120.385,46.385,210.99001,1697.37805,-32.622,350.59299,276.59299,160.646,1535.99902,-194.00101,510.13501,436.13501,145.64999,1411.55701,-318.44299,-0.04002,74195,-0.01777,32938,-0.03902,72385,-0.01678,31128,-0.07758,143888,-0.05534,102631,-0.09698,179877,-0.07474,138620,-36010,-16218,-33308,-13516,-79948,-60156,-142279,-122487,0.01491
"2761","E02004685","Basingstoke and Deane 011",3835,9,355,261,16,30,1986,191,105,870,12,224.73399,119.734,833.487,1926.08801,-59.912,154.01199,49.012,856.44501,1960.23706,-25.763,817.04602,712.04602,621.39301,1651.45398,-334.54599,1092.56006,987.56,550.09998,1502.67798,-483.32199,-0.0297,55061,-0.01641,30413,-0.01829,33924,-0.005,9276,-0.0876,162485,-0.07432,137837,-0.09647,178935,-0.08318,154287,-25296,-13914,-16436,-5054,-73500,-62118,-124662,-113280,0.01677
"2813","E02004735","Fareham 009",3380,3,146,75,10,52,2528,180,154,201,31,263.55801,109.558,189.657,2445.61011,-82.39,255.44,101.44,190.246,2448.87109,-79.129,638.38,484.38,140.709,2171.29297,-356.707,894.96301,740.96301,127.089,1967.36902,-560.63098,-0.07931,147044,-0.02987,55345,-0.08422,156210,-0.03478,64511,-0.15656,290386,-0.10712,198687,-0.18752,347818,-0.13808,256119,-72679,-27510,-74381,-29212,-143081,-97912,-236868,-191699,0.00962
