"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2082","E02002810","Derby 015",3740,2,33,332,6,27,2736,189,122,282,11,242.54401,120.544,268.58401,2652.4751,-83.525,201.33701,79.337,273.29901,2679.33301,-56.667,737.185,615.185,201.924,2325.94897,-410.05099,1053.75403,931.75403,180.60001,2086.93188,-649.06799,-0.11233,208326,-0.04963,92027,-0.08783,162926,-0.02514,46627,-0.26908,499165,-0.20639,382866,-0.29788,552594,-0.23519,436295,-65199,-27543,-57044,-19388,-153951,-116295,-253955,-216299,0.01829
"2159","E02004080","Erewash 003",4274,6,12,398,22,56,2577,327,94,759,23,175.73199,81.732,741.784,2529.91699,-47.083,171.03,77.03,739.65997,2535.73608,-41.265,566.65601,472.65601,630.84802,2326.08691,-250.91299,1000.44702,906.44702,535.09998,2077.48096,-499.51901,-0.05475,101493,-0.02765,51231,-0.04995,92650,-0.02285,42388,-0.1379,255767,-0.11081,205505,-0.1835,340371,-0.1564,290109,-34604,-17412,-31620,-14428,-90825,-73633,-185910,-168718,0.02166
"2236","E02004066","Chesterfield 012",5468,1,111,421,38,38,3736,350,58,693,22,197.731,139.731,668.42499,3648.7041,-87.296,108.669,50.669,682.25598,3706.6731,-29.327,951.07599,893.07599,519.836,3194.15601,-541.84399,1440.36902,1382.36902,450.72101,2866.26196,-869.737,-0.06079,112702,-0.04154,76996,-0.02705,50177,-0.0078,14471,-0.21607,400805,-0.19682,365099,-0.26007,482431,-0.24082,446725,-33282,-22404,-16651,-5773,-129298,-118420,-244893,-234015,0.02525
"2248","E02004083","Erewash 006",3681,5,9,319,9,36,2550,220,94,432,7,169.164,75.164,422.19,2498.7561,-51.244,197.444,103.444,410.573,2487.7959,-62.204,490.401,396.401,364.91501,2292.66309,-257.33701,867.67999,773.67999,308.064,2038.95398,-511.04599,-0.06138,113770,-0.02975,55120,-0.05928,109953,-0.02766,51303,-0.15043,278999,-0.1188,220349,-0.19462,360976,-0.16299,302326,-40278,-19544,-38405,-17671,-102231,-81497,-200846,-180112,0.01954
"2296","E02004037","Amber Valley 009",3694,2,68,117,7,40,2861,239,31,313,16,76.096,45.096,307.65399,2827.2981,-33.702,62.001,31.001,307.871,2839.25903,-21.741,298.56,267.56,268.70401,2672.80103,-188.19901,651.052,620.052,225.82899,2410.66089,-450.33899,-0.03338,61846,-0.01901,35202,-0.02193,40666,-0.00756,14022,-0.09005,167008,-0.07569,140364,-0.16545,306878,-0.15108,280234,-26387,-15129,-19783,-8525,-68006,-56748,-183338,-172080,0.03538
"2358","E02002798","Derby 003",5567,8,41,387,5,47,4474,323,108,159,15,242.845,134.845,154.078,4367.2998,-106.7,210.403,102.403,156.485,4395.61621,-78.384,823.78101,715.78101,126.479,3912.91089,-561.08899,1369.55798,1261.55798,109.214,3471.93091,-1002.06897,-0.12734,236163,-0.0711,131844,-0.09641,178850,-0.04018,74531,-0.37707,699494,-0.32084,595175,-0.4693,870598,-0.41306,766279,-70892,-39601,-58745,-27454,-211112,-179821,-396041,-364750,0.02111
"2383","E02004030","Amber Valley 002",2226,3,48,39,9,26,1840,110,22,119,10,39.583,17.583,117.368,1825.95203,-14.048,41.525,19.525,118.732,1823.19397,-16.806,111.343,89.343,106.539,1772.47595,-67.524,293.75699,271.75699,90.21,1626.82104,-213.179,-0.02344,43419,-0.00911,16843,-0.02488,46139,-0.01055,19563,-0.05053,93694,-0.0362,67118,-0.10254,190175,-0.08821,163599,-21885,-7709,-29584,-15408,-42178,-28002,-118065,-103889,0.04312
"2416","E02004041","Amber Valley 013",3299,13,26,165,12,35,2450,194,59,339,6,111.426,52.426,331.56799,2412.59912,-37.401,111.376,52.376,331.99301,2412.23193,-37.768,359.31201,300.31201,282.51001,2247.85791,-202.142,669.88702,610.88702,242.30701,2022.42896,-427.57101,-0.03869,71697,-0.01887,34933,-0.03088,57262,-0.01105,20498,-0.10077,186868,-0.08095,150104,-0.1587,294353,-0.13888,257589,-29873,-14176,-27415,-11718,-73959,-58262,-168827,-153130,0.02718
"2447","E02004033","Amber Valley 005",4226,3,25,188,5,49,3124,323,62,429,18,142.131,80.131,414.75699,3070.41406,-53.586,118.629,56.629,418.29999,3086.25293,-37.747,525.42102,463.42099,331.79599,2829.56104,-294.439,912.89203,850.89203,285.71201,2548.552,-575.448,-0.0465,86175,-0.0241,44637,-0.03428,63586,-0.01189,22048,-0.12889,239054,-0.1065,197516,-0.19495,361614,-0.17256,320076,-37245,-19044,-31400,-13199,-98270,-80069,-224242,-206041,0.02881
"2510","E02002821","Derby 026",3927,0,26,549,56,50,2029,329,223,648,17,424.633,201.633,603.67297,1928.81604,-100.184,357.5,134.5,611.828,1964.58606,-64.414,1191.14294,968.14301,430.134,1560.26904,-468.73099,1423.396,1200.396,403.168,1427.34705,-601.65302,-0.09991,185277,-0.04647,86143,-0.07572,140460,-0.02228,41326,-0.25012,463956,-0.19668,364822,-0.2327,431649,-0.17926,332515,-52934,-23196,-46833,-17095,-127534,-97796,-180139,-150401,0.00822
