"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2263","E02006496","Rugby 005",3571,6,164,85,31,30,1971,388,186,698,12,301.064,115.064,661.60602,1912.76196,-58.238,270.634,84.634,671.15302,1929.71106,-41.289,748.98499,562.98499,494.82599,1702.73804,-268.26199,992.992,806.992,443.57999,1559.297,-411.703,-0.05674,105210,-0.02034,37699,-0.04662,86475,-0.01022,18964,-0.09679,179524,-0.0604,112013,-0.11709,217188,-0.0807,149677,-42179,-15818,-36914,-10553,-80982,-54621,-142962,-116601,0.0124
"2312","E02001974","Coventry 017",4442,0,99,379,31,28,3015,320,118,434,18,259.948,141.948,415.15201,2921.979,-93.021,203.93401,85.934,421.923,2958.36304,-56.637,901.505,783.505,313.332,2517.01807,-497.98199,1277.26599,1159.26599,275.41299,2259.26196,-755.73798,-0.08063,149496,-0.04405,81651,-0.05649,104777,-0.01992,36932,-0.26024,482722,-0.22366,414877,-0.29599,549052,-0.25941,481207,-50419,-26757,-39274,-15612,-143571,-119909,-242131,-218469,0.01768
"2325","E02006490","Nuneaton and Bedworth 016",3366,0,36,219,12,36,2540,281,71,163,8,175.774,104.774,155.289,2463.9541,-76.047,128.62601,57.626,159.59801,2498.60596,-41.394,597.59998,526.59998,116.634,2166.84106,-373.159,871.461,800.461,105.41,1956.30896,-583.69098,-0.07067,131024,-0.04127,76503,-0.04382,81276,-0.01443,26755,-0.20837,386516,-0.17898,331995,-0.23774,440997,-0.20835,386476,-49974,-28569,-34791,-13386,-144553,-123148,-248112,-226707,0.01767
"2342","E02006508","Stratford-on-Avon 005",4069,7,84,54,6,34,3430,214,51,172,17,128.274,77.274,163.395,3369.27905,-60.721,70.65,19.65,171.851,3412.0979,-17.902,408.11401,357.11401,122.129,3161.14307,-268.85699,681.867,630.867,108.185,2927.87012,-502.13,-0.07501,139114,-0.04426,82071,-0.04853,90020,-0.01778,32977,-0.15844,293909,-0.12769,236866,-0.23331,432819,-0.20256,375776,-50305,-29718,-33239,-12652,-125525,-104938,-273802,-253215,0.01514
"2413","E02001981","Coventry 024",3362,5,93,638,44,5,1340,401,99,695,42,232.205,133.205,655.47998,1294.15503,-45.845,161.47,62.47,677.80103,1318.07703,-21.923,828.89001,729.89001,459.008,1099.49695,-240.50301,1038.92297,939.92297,421.112,1012.047,-327.953,-0.05459,101219,-0.02617,48506,-0.03917,72643,-0.01075,19930,-0.15516,287796,-0.12674,235083,-0.14767,273908,-0.11925,221195,-23970,-11753,-17514,-5297,-63868,-51651,-98857,-86640,0.01295
"2474","E02006533","Warwick 015",4692,4,107,153,9,30,3463,309,197,401,19,374.20999,177.21001,377.70001,3334.73706,-128.263,341.77899,144.77901,379.94199,3362.3689,-100.631,1060.85303,863.85303,278.95499,2847.11597,-615.88397,1412.63599,1215.63599,247.40401,2576.65991,-886.34003,-0.08544,158464,-0.04282,79403,-0.06918,128337,-0.02656,49276,-0.22233,412441,-0.17972,333380,-0.23902,443406,-0.1964,364345,-69428,-34816,-59131,-24519,-183796,-149184,-292382,-257770,NA
"2609","E02001977","Coventry 020",3632,2,100,510,26,26,1781,335,110,708,34,243.241,133.241,671.66498,1721.81104,-59.189,189.64,79.64,690.68701,1746.15002,-34.85,835.547,725.547,487.358,1473.27795,-307.72198,1115.54102,1005.54102,434.17001,1331.77295,-449.22699,-0.06303,116847,-0.03092,57294,-0.05059,93823,-0.01848,34270,-0.17633,327059,-0.14422,267506,-0.18066,335102,-0.14855,275549,-33241,-16860,-25914,-9533,-89849,-73468,-148577,-132196,0.01556
"2633","E02006515","Stratford-on-Avon 012",3831,4,40,102,1,33,3166,214,59,199,13,134.302,75.302,189.461,3108.229,-57.771,103.548,44.548,190.55099,3135.04492,-30.955,406.177,347.177,148.905,2905.39404,-260.60599,670.55701,611.55701,132.396,2687.41504,-478.58499,-0.06028,111802,-0.0408,75656,-0.03568,66197,-0.0162,30051,-0.14585,270568,-0.12637,234422,-0.20835,386512,-0.18886,350366,-38952,-26648,-24081,-11777,-114022,-101718,-244109,-231805,0.01406
"2721","E02006474","North Warwickshire 007",2573,2,53,47,5,28,2180,138,20,84,16,57.657,37.657,81.545,2149.30688,-30.693,37.948,17.948,82.788,2165.09106,-14.909,191.96001,171.96001,68.786,2044.58899,-135.411,382.53,362.53,60.566,1883.85596,-296.14401,-0.0397,73568,-0.02487,46062,-0.02588,48010,-0.01106,20504,-0.10211,189344,-0.08728,161838,-0.16898,313408,-0.15415,285902,-27451,-17403,-18356,-8308,-73365,-63317,-179006,-168958,0.01578
"2727","E02001972","Coventry 015",2856,3,48,519,60,6,1244,383,45,502,46,162.623,117.623,474.931,1196.67004,-47.33,65.308,20.308,500.366,1235.07703,-8.923,730,685,328.58499,976.12701,-267.87399,921.10797,876.10797,302.63901,888.42499,-355.57501,-0.03793,70300,-0.02552,47283,-0.01774,32901,-0.00533,9884,-0.1491,276581,-0.13669,253564,-0.14737,273363,-0.13496,250346,-16011,-11389,-6813,-2191,-59631,-55009,-95350,-90728,0.01217
