"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2420","E02002315","Kirklees 045",3191,52,277,2073,239,82,3,398,29,33,5,94.242,42.242,272.59698,2047.0031,-25.997,98.163,46.163,272.19601,2045.736,-27.264,303.41101,251.411,244.05901,1922.278,-150.722,648.69098,596.69098,206.39799,1705.379,-367.621,-0.03034,56197,-0.01386,25620,-0.02628,48745,-0.0098,18168,-0.09157,169799,-0.07509,139222,-0.15189,281712,-0.1354,251135,-18295,-8653,-16593,-6951,-51265,-41623,-129396,-119754,4.16908
"2438","E02002192","Bradford 010",4211,51,211,3103,195,449,9,146,11,17,19,103.17,52.17,208.153,3064.5129,-38.487,99.104,48.104,208.61301,3064.8711,-38.129,325.39899,274.39899,189.407,2902.397,-200.603,737.98602,686.98602,161.45599,2594.98,-508.01999,-0.05942,110128,-0.03156,58455,-0.04618,85646,-0.01832,33973,-0.16383,303864,-0.13597,252191,-0.2818,522718,-0.25394,471045,-32967,-16576,-31730,-15339,-88007,-71616,-217341,-200950,3.76262
"2448","E02002350","Leeds 021",2599,44,229,1743,129,276,7,140,8,15,8,82.651,38.651,224.34,1718.0909,-24.909,81.106,37.106,225.313,1717.881,-25.119,267.27701,223.27699,190.368,1602.726,-140.274,530.323,486.323,165.73801,1427.658,-315.34201,-0.03444,63798,-0.01403,25937,-0.02938,54488,-0.00897,16627,-0.09664,179206,-0.07623,141345,-0.15694,291080,-0.13653,253219,-21344,-9223,-22140,-10019,-53475,-41354,-126385,-114264,3.23558
"2455","E02002300","Kirklees 030",2920,27,265,2054,209,80,2,247,9,18,9,59.091,32.091,260.57999,2033.204,-20.796,59.255,32.255,261.63599,2031.661,-22.339,238.82201,211.82201,228.616,1923.3051,-130.69501,549.104,522.104,191.935,1715.978,-338.022,-0.02091,38698,-0.00982,18127,-0.02032,37673,-0.00922,17102,-0.06646,123208,-0.05537,102637,-0.12304,228189,-0.11195,207618,-14962,-7105,-16414,-8557,-42901,-35044,-118885,-111028,4.58959
"2459","E02002403","Leeds 074",2646,39,304,1628,160,282,2,199,7,17,8,99.05,60.05,290.55701,1595.0031,-32.997,68.643,29.643,299.98901,1611.724,-16.276,366.26199,327.26199,208.636,1460.725,-167.27499,571.51398,532.51398,189.036,1334.486,-293.51401,-0.03865,71620,-0.02041,37787,-0.02487,46125,-0.00663,12292,-0.12115,224672,-0.10291,190839,-0.1725,319946,-0.15425,286113,-24659,-13227,-17292,-5860,-66271,-54839,-136550,-125118,1.69592
"2465","E02002340","Leeds 011",2622,56,335,1766,139,110,2,185,12,10,7,93.843,37.843,328.77899,1741.276,-24.724,107.392,51.392,322.82999,1735.833,-30.167,257.74701,201.74699,294.418,1635.84,-130.16,516.47998,460.48001,251.504,1465.361,-300.63901,-0.03188,59043,-0.01261,23295,-0.02771,51389,-0.00844,15641,-0.08104,150247,-0.06177,114499,-0.13224,245244,-0.11297,209496,-21423,-9006,-21824,-9407,-51042,-38625,-122109,-109692,3.31566
"2480","E02002361","Leeds 032",2500,75,194,1571,160,44,1,417,24,8,6,129.942,54.942,188.66901,1537.796,-33.204,139.51199,64.512,189.479,1530.952,-40.048,381.48801,306.48801,156.839,1390.713,-180.287,649.67499,574.67499,135.513,1224.943,-346.05701,-0.03731,69114,-0.01499,27719,-0.03263,60522,-0.01031,19127,-0.11288,209322,-0.09056,167927,-0.14617,271096,-0.12386,229701,-23166,-9508,-24382,-10724,-58893,-45235,-114300,-100642,2.83109
"2496","E02002207","Bradford 025",2627,43,278,1459,198,279,7,305,30,10,18,108.138,65.138,268.745,1423.455,-35.545,56.076,13.076,275.931,1451.382,-7.618,448.159,405.159,212.661,1240.264,-218.73599,715.17902,672.17902,183.60699,1086.293,-372.707,-0.03604,66783,-0.01973,36524,-0.01897,35188,-0.00266,4929,-0.12393,229847,-0.10762,199588,-0.15487,287254,-0.13856,256995,-16544,-8599,-9684,-1739,-55192,-47247,-101217,-93272,3.26258
"2523","E02002250","Calderdale 007",3579,58,288,2474,179,254,8,283,5,20,10,91.904,33.904,283.16699,2451.531,-22.469,91.638,33.638,282.793,2451.561,-22.439,240.565,182.565,252.23801,2360.386,-113.614,565.73499,507.73499,213.631,2138.064,-335.936,-0.04408,81703,-0.01477,27330,-0.04305,79861,-0.01374,25488,-0.08838,163878,-0.05907,109505,-0.17286,320610,-0.14354,266237,-25262,-8574,-28417,-11729,-50430,-33742,-143883,-127195,3.99809
"2533","E02002306","Kirklees 036",3112,25,176,2332,233,68,2,218,23,19,16,42.289,17.289,174.82001,2319.342,-12.658,52.85,27.85,173.134,2313.187,-18.813,113,88,167.752,2269.4241,-62.576,391.69199,366.69199,146.302,2067.241,-264.759,-0.01865,34522,-0.00818,15103,-0.01873,34735,-0.00826,15316,-0.04949,91751,-0.03903,72332,-0.12466,231205,-0.11419,211786,-12370,-5783,-13152,-6565,-31143,-24556,-118121,-111534,5.80076
