"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"6059","E02003811","Cheshire East 022",2149,5,100,5,4,10,1835,79,25,73,13,63.482,38.482,69.843,1802.63904,-32.361,46.143,21.143,72.345,1816.54895,-18.451,190.823,165.823,55.871,1699.06604,-135.93401,323.10699,298.10699,51.019,1581.41101,-253.589,-0.03837,71114,-0.02273,42107,-0.03062,56794,-0.01498,27787,-0.08471,157097,-0.06907,128090,-0.1259,233527,-0.11027,204520,-29420,-17506,-23933,-12019,-71392,-59478,-152597,-140683,0.01119
"6120","E02003795","Cheshire West and Chester 025",2259,4,48,128,13,10,1654,115,73,201,13,148.358,75.358,187.955,1604.79395,-49.206,130.87199,57.872,197.207,1611.13794,-42.862,435.40701,362.40701,130.351,1423.95996,-230.03999,557.97699,484.978,122.965,1332.10901,-321.89099,-0.05606,103958,-0.02679,49654,-0.0537,99626,-0.02443,45322,-0.1299,240957,-0.10062,186653,-0.12885,239014,-0.09957,184710,-37280,-17080,-38808,-18608,-90615,-70415,-134111,-113911,0.00741
"6126","E02003857","Cheshire East 005",2952,9,140,52,14,14,2245,142,51,256,29,128.979,77.979,245.60899,2187.00391,-57.996,107.017,56.017,247.366,2204.36304,-40.637,462.84,411.84,188.694,1949.177,-295.823,688.297,637.297,165.98399,1775.63098,-469.36899,-0.05333,98832,-0.03176,58824,-0.04084,75749,-0.01927,35741,-0.13736,254761,-0.1158,214753,-0.16624,308318,-0.14467,268310,-36324,-21849,-27495,-13020,-106812,-92337,-191905,-177430,0.01604
"6150","E02003867","Cheshire East 015",3453,8,74,97,14,18,2618,218,66,333,7,152.16499,86.165,320.47198,2556.20801,-61.792,125.099,59.099,322.35101,2576.53906,-41.461,582.32898,516.32898,246.90601,2258.38599,-359.61301,888.48798,822.48798,215.532,2023.97705,-594.02301,-0.04974,92211,-0.02449,45370,-0.04242,78691,-0.01717,31850,-0.125,231847,-0.09975,185006,-0.16344,303169,-0.13819,256328,-36030,-17802,-30428,-12200,-98725,-80497,-188280,-170052,0.0213
"6183","E02003836","Cheshire East 047",2910,2,65,49,2,29,1964,175,134,477,13,244.09399,110.094,450.69299,1892.31201,-71.688,186.97301,52.973,461.755,1931.92004,-32.08,691.36499,557.36499,323.854,1619.81995,-344.17999,862.48999,728.48999,301.08899,1492.87,-471.13,-0.0623,115548,-0.02612,48431,-0.04985,92480,-0.01367,25363,-0.12785,237163,-0.09167,170046,-0.13248,245748,-0.0963,178631,-44597,-18714,-35730,-9847,-101045,-75162,-154744,-128861,0.00912
"6265","E02002609","Warrington 020",3697,0,59,331,33,42,2350,289,236,336,21,415.44901,179.44901,315.63101,2237.03589,-112.964,335.36801,99.368,325.52899,2288.00391,-61.996,1044.65796,808.65802,230.157,1852.33398,-497.66599,1270.63794,1034.63794,212.47,1694.36694,-655.633,-0.11869,220103,-0.05303,98299,-0.09391,174217,-0.02826,52413,-0.26781,496770,-0.20215,374966,-0.26813,497375,-0.20248,375571,-65556,-29424,-54225,-18093,-152915,-116783,-220330,-184198,0.01586
"6394","E02003841","Cheshire West and Chester 001",2958,8,82,113,14,31,2207,131,79,261,32,149.121,70.121,249.666,2157.81104,-49.189,114.116,35.116,258.91101,2180.17212,-26.828,415.745,336.745,195.192,1980.60596,-226.394,606.46997,527.46997,179.686,1833.22595,-373.77399,-0.05956,110435,-0.02956,54774,-0.0482,89415,-0.0182,33754,-0.12819,237763,-0.09818,182102,-0.16607,308041,-0.13606,252380,-39666,-19665,-33313,-13312,-92546,-72545,-174070,-154069,0.01269
"6405","E02003863","Cheshire East 010",2632,26,88,20,5,8,2059,95,36,284,11,91.815,55.815,271.811,2020.40601,-38.594,65.404,29.404,278.12799,2037.71899,-21.281,332.97699,296.97699,202.63901,1869.92102,-189.07899,509.25699,473.25699,179.468,1733.255,-325.745,-0.03354,62139,-0.02054,38024,-0.02499,46341,-0.01198,22226,-0.07206,133602,-0.05906,109487,-0.11882,220355,-0.10582,196240,-27798,-17569,-19912,-9683,-66643,-56414,-152794,-142565,0.0103
"6484","E02003869","Cheshire East 017",3254,3,95,47,22,23,2230,186,76,556,16,167.82201,91.822,531.65601,2173.12793,-56.872,130.632,54.632,545.65399,2192.50806,-37.492,635.44,559.44,389.18201,1900.41504,-329.58499,871.14203,795.14203,350.09799,1732.16296,-497.83701,-0.04287,79459,-0.01691,31305,-0.0438,81236,-0.01784,33082,-0.08248,152961,-0.05652,104807,-0.11073,205364,-0.08477,157210,-31460,-13249,-31049,-12838,-70566,-52355,-137334,-119123,0.01643
"6495","E02003829","Cheshire East 038",2703,4,81,65,11,27,1749,199,174,386,7,303.965,129.965,359.173,1662.72498,-86.275,261.75299,87.753,365.18799,1693.99097,-55.009,758.46997,584.46997,254.50999,1372.29004,-376.70999,881.02899,707.02899,241.457,1279.16699,-469.83301,-0.05814,107817,-0.02548,47228,-0.04435,82271,-0.01169,21682,-0.12026,223071,-0.0876,162482,-0.11527,213811,-0.08261,153222,-41948,-18736,-32204,-8992,-97576,-74364,-138366,-115154,0.00722
"6515","E02003889","Cheshire West and Chester 040",2027,1,16,77,13,20,1386,177,56,271,10,113.356,57.356,258.34799,1350.54504,-35.455,111.129,55.129,255.60899,1354.98999,-31.01,360.754,304.754,193.71201,1205.65601,-180.34399,499.979,443.979,176.33299,1108.25903,-277.741,-0.02967,55002,-0.0158,29274,-0.02244,41613,-0.00856,15885,-0.06808,126259,-0.05421,100531,-0.09023,167363,-0.07636,141635,-19790,-10755,-16263,-7228,-50409,-41374,-98132,-89097,0.01302
"6516","E02003832","Cheshire East 043",2844,1,69,127,21,31,1428,333,203,618,13,327.69901,124.699,579.034,1366.35596,-61.644,306.077,103.077,589.13098,1374.45703,-53.543,771.42401,568.42401,425.28101,1163.02502,-264.97501,930.953,727.953,395.09201,1071.69202,-356.30801,-0.04895,90782,-0.01948,36114,-0.04565,84678,-0.01618,30010,-0.09348,173389,-0.06401,118721,-0.09225,171108,-0.06278,116440,-34534,-13402,-32332,-11200,-72501,-51369,-106888,-85756,0.01131
"6640","E02003804","Cheshire West and Chester 036",3422,6,123,120,26,15,2164,176,173,601,18,285.08401,112.084,566.10602,2103.61206,-60.388,297.759,124.759,564.47803,2095.948,-68.052,706.10699,533.10699,422.70599,1888.76001,-275.23999,875.88397,702.88397,385.55399,1781.70996,-382.29001,-0.05079,94179,-0.02013,37306,-0.05071,94073,-0.02005,37200,-0.09413,174587,-0.06347,117714,-0.0983,182345,-0.06765,125472,-38028,-15605,-39386,-16963,-80296,-57873,-128227,-105804,0.01069
"6663","E02003856","Cheshire East 004",4589,9,243,148,30,27,3274,246,123,467,22,276.20499,153.205,444.86499,3167.46606,-106.534,211.30099,88.301,452.95001,3214.11401,-59.886,908.03998,785.03998,331.33401,2748.573,-525.427,1259.01599,1136.01599,298.39899,2490.24902,-783.75098,-0.10736,199074,-0.05706,105773,-0.07979,148010,-0.0295,54709,-0.25729,477241,-0.20699,383940,-0.28593,530379,-0.23563,437078,-71861,-37307,-54891,-20337,-190874,-156320,-312810,-278256,0.01758
"6665","E02002604","Warrington 015",3630,0,88,141,6,21,2939,193,59,170,13,209.72501,150.72501,158.166,2821.9209,-117.079,120.359,61.359,164.11,2893.71289,-45.287,815.20801,756.20801,103.798,2359.11792,-579.88202,1034.745,975.745,98.697,2172.89502,-766.10498,-0.08039,149051,-0.05863,108671,-0.03605,66867,-0.01428,26487,-0.27172,504022,-0.24995,463642,-0.27424,508688,-0.25247,468308,-49224,-36668,-22008,-9452,-176038,-163482,-273093,-260537,0.00847
"6791","E02003794","Cheshire West and Chester 022",3823,2,60,105,11,28,3130,203,88,170,26,173.481,85.481,162.16299,3063.42212,-66.578,155.418,67.418,162.948,3078.71094,-51.289,448.61499,360.61499,133.049,2853.16602,-276.83401,692.43201,604.43201,121.131,2651.85791,-478.142,-0.08872,164545,-0.0457,84740,-0.07386,137014,-0.03084,57209,-0.19553,362700,-0.15251,282895,-0.2429,450585,-0.19988,370780,-60376,-31175,-52169,-22968,-143302,-114101,-261876,-232675,0.01009
