"","id","msoa1","msoa2","all","light_rail","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","avslope_q","clc"
"87088","E02003238 E02003245","E02003238","E02003245",101,0,6,0,0,71,8,13,2,0,20.4,7.4,1.83,-5.99,22.21,9.21,1.75,-7.59,40.12,27.12,1.42,-21.74,47.18,34.18,1.25,-27.45,-0.00767,14237,-0.0028,5191,-0.00794,14729,-0.00306,5683,-0.01512,28048,-0.01024,19002,-0.01289,23919,-0.00802,14873,-4355,-1561,-4774,-1980,-8467,-5673,-9958,-7164,1,3.73177,"Peterborough 002","Peterborough 009",5.126,5.125,2266,2270,1.37361,0.9998,54.62349,0.54634,12.87129
"87089","E02003238 E02003246","E02003238","E02003246",133,0,24,0,2,83,9,12,3,0,23.54,11.54,2.71,-7.88,14.51,2.51,2.95,-1.79,60.32,48.32,1.86,-33.38,66.66,54.66,1.69,-37.71,-0.0077,14283,-0.0038,7057,-0.00464,8605,-0.00074,1379,-0.02017,37425,-0.01628,30199,-0.01682,31197,-0.01292,23971,-3582,-1800,-2190,-408,-9409,-7627,-10399,-8617,0,3.84021,"Peterborough 002","Peterborough 010",4.492,4.492,1902,1902,1.16973,1,24.48798,0.24488,9.02256
"87090","E02003238 E02003247","E02003238","E02003247",64,0,1,0,0,52,6,3,2,0,7.6,4.6,1.85,-3.92,3,0,2,0,24.61,21.61,1.31,-18.43,29.25,26.25,1.15,-22.38,-0.00305,5659,-0.00186,3450,-0.00119,2209,0,0,-0.0099,18366,-0.00871,16157,-0.0077,14279,-0.00651,12070,-1831,-1109,-722,0,-5939,-5217,-7059,-6337,0,4.0502,"Peterborough 002","Peterborough 011",5.561,5.56,2462,2466,1.37302,0.99982,48.55242,0.48561,4.6875
"87091","E02003238 E02003248","E02003238","E02003248",73,1,4,0,1,59,3,5,0,0,11.03,6.03,0,-5.23,9.41,4.41,0,-3.85,31.18,26.18,0,-22.72,35.26,30.26,0,-26.26,-0.00444,8242,-0.00243,4507,-0.00359,6657,-0.00158,2922,-0.01253,23244,-0.01052,19509,-0.00977,18123,-0.00776,14388,-2538,-1389,-2172,-1023,-7184,-6035,-8124,-6975,1,4.55878,"Peterborough 002","Peterborough 012",5.217,5.528,2144,2452,1.14439,1.05961,21.08491,0.19899,6.84932
"87092","E02003238 E02003249","E02003238","E02003249",277,0,13,0,2,228,22,9,2,1,28.85,19.85,1.85,-16.88,14.96,5.96,1.88,-5.1,101,92,1.32,-78.26,120.95,111.95,1.17,-95.24,-0.01468,27237,-0.01011,18749,-0.00722,13397,-0.00265,4909,-0.05126,95110,-0.04669,86622,-0.04059,75309,-0.03602,66821,-8331,-5731,-4332,-1732,-29171,-26571,-34933,-32333,0,5.76076,"Peterborough 002","Peterborough 013",6.671,7.532,2658,2954,1.15801,1.12907,17.98831,0.15932,3.2491
"87093","E02003238 E02003250","E02003238","E02003250",451,0,105,1,4,268,45,23,4,1,56.78,33.78,3.68,-21.15,44.79,21.79,3.79,-13.61,171.89999,148.89999,2.61,-93.25,202.38,179.38,2.33,-112.34,-0.02747,50969,-0.01635,30330,-0.02047,37978,-0.00935,17339,-0.08293,153852,-0.0718,133213,-0.06585,122166,-0.05472,101527,-11499,-6847,-9060,-4408,-34848,-30196,-41029,-36377,0,5.55413,"Peterborough 002","Peterborough 014",6.364,6.845,2556,2714,1.14581,1.07558,15.71339,0.11687,5.09978
"87094","E02003238 E02003251","E02003238","E02003251",218,0,13,1,1,183,14,5,1,0,18.43,13.43,0.94,-11.54,9.52,4.52,0.98,-3.83,68.78,63.78,0.7,-54.84,87.33,82.33,0.61,-70.77,-0.01054,19548,-0.00768,14248,-0.00515,9551,-0.00229,4251,-0.0392,72726,-0.03634,67426,-0.03268,60639,-0.02983,55339,-5980,-4376,-3056,-1452,-22405,-20801,-28450,-26846,0,5.44675,"Peterborough 002","Peterborough 015",7.456,7.562,3186,3380,1.36889,1.01422,32.18884,0.47606,2.29358
"87095","E02003238 E02003252","E02003238","E02003252",92,2,3,0,0,73,5,5,3,1,10.01,5.01,2.84,-4.21,5.15,0.15,3,-0.14,25.03,20.03,2.18,-16.63,33.45,28.45,1.91,-23.72,-0.00645,11969,-0.00317,5871,-0.00338,6264,-9e-05,166,-0.01575,29222,-0.01246,23124,-0.01431,26549,-0.01102,20451,-3747,-1825,-1981,-59,-9120,-7198,-12192,-10270,2,6.45456,"Peterborough 002","Peterborough 016",8.521,8.645,3558,3488,1.32015,1.01455,29.33928,0.28918,5.43478
"87096","E02003238 E02003253","E02003238","E02003253",73,0,5,0,1,54,6,5,1,1,8.64,3.64,0.95,-2.89,9,4,0.92,-3.25,18.14,13.14,0.77,-10.56,25.15,20.15,0.67,-16.12,-0.0059,10937,-0.00246,4568,-0.00581,10776,-0.00238,4407,-0.01224,22699,-0.0088,16330,-0.01198,22221,-0.00854,15852,-3056,-1307,-3210,-1461,-6517,-4768,-9033,-7284,0,7.60396,"Peterborough 002","Peterborough 017",9.047,9.45,3842,4312,1.18978,1.04455,37.58152,0.40212,6.84932
"87097","E02003238 E02003254","E02003238","E02003254",177,0,15,0,3,139,14,5,0,1,11.22,6.22,0,-5.02,5,0,0,0,29.21,24.21,0,-19.55,47.36,42.36,0,-34.22,-0.00947,17563,-0.00525,9735,-0.00422,7828,0,0,-0.02403,44587,-0.01981,36759,-0.02695,50000,-0.02273,42172,-5028,-2792,-2236,0,-13110,-10874,-21269,-19033,0,8.26028,"Peterborough 002","Peterborough 018",10.939,11.452,5006,5272,1.32429,1.0469,54.84962,0.6811,2.82486
"87098","E02003238 E02003255","E02003238","E02003255",40,0,5,0,1,29,1,1,3,0,2.56,1.56,2.88,-1.16,1,0,3,0,7.25,6.25,2.46,-4.68,11.21,10.21,2.16,-7.62,-0.00206,3817,-0.00122,2261,-0.00084,1556,0,0,-0.00549,10187,-0.00465,8631,-0.00562,10426,-0.00478,8870,-1026,-639,-387,0,-2974,-2587,-4600,-4213,0,8.98747,"Peterborough 002","Peterborough 019",10.858,10.965,4378,4960,1.20813,1.00985,34.99724,0.40128,2.5
