"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4969","E02001657","Sheffield 047",4359,191,658,2448,190,109,31,671,16,29,16,247.543,56.543,647.81799,2418.354,-29.646,316.34201,125.342,630.55603,2385.6841,-62.316,456.61301,265.61301,604.01898,2309.8401,-138.16,959.04901,768.04901,504.323,2043.088,-404.91199,-0.05594,103695,-0.01364,25235,-0.05482,101667,-0.01252,23207,-0.10188,188927,-0.05958,110467,-0.15043,279021,-0.10814,200561,-34960,-8848,-41853,-15741,-61385,-35273,-135974,-109862,4.42239
"4970","E02001585","Rotherham 008",2460,44,230,1575,197,26,5,337,16,18,12,104.101,60.101,222.978,1539.011,-35.989,84.081,40.081,227.728,1547.976,-27.024,409.90799,365.90799,176.754,1366.7889,-208.211,646.62,602.62,154.881,1214.469,-360.53101,-0.04458,82633,-0.02241,41508,-0.036,66773,-0.01383,25648,-0.13885,257533,-0.11668,216408,-0.17063,316502,-0.14846,275377,-23034,-11052,-20365,-8383,-66436,-54454,-123658,-111676,2.44356
"4988","E02001575","Doncaster 037",2656,98,251,1581,268,18,1,382,19,24,14,197.123,99.123,235.004,1528.163,-52.837,128.017,30.017,246.79201,1565.525,-15.475,537.54498,439.54501,171.96899,1354.405,-226.595,726.409,628.409,161.131,1236.693,-344.30701,-0.10535,195403,-0.05306,98400,-0.07096,131641,-0.01867,34638,-0.2421,449135,-0.18981,352132,-0.25729,477317,-0.20501,380314,-42578,-21332,-29101,-7855,-103276,-82030,-166022,-144776,0.89378
"5043","E02001673","Sheffield 063",2990,19,185,2237,202,18,174,121,6,16,12,65.452,46.452,178.95399,2204.0911,-32.909,41.822,22.822,182.347,2222.02,-14.98,306.44699,287.44699,139.358,2038.5861,-198.414,563.88098,544.88098,121.947,1846.46,-390.54001,-0.02403,44516,-0.01637,30305,-0.01254,23254,-0.00488,9043,-0.09319,172828,-0.08553,158617,-0.15714,291456,-0.14947,277245,-16099,-11388,-10294,-5583,-60154,-55443,-150420,-145709,2.84923
"5108","E02001510","Barnsley 002",2441,23,237,1745,190,27,0,162,16,32,9,71.037,48.037,229.66701,1713.512,-31.488,39.967,16.967,233.71201,1734.592,-10.408,309.349,286.349,184.72,1565.286,-179.714,533.04498,510.04501,162.383,1408.647,-336.353,-0.02608,48312,-0.01844,34140,-0.01115,20676,-0.00351,6504,-0.09409,174479,-0.08645,160307,-0.13956,258844,-0.13192,244672,-15776,-11352,-6899,-2475,-56268,-51844,-129367,-124943,2.49719
"5127","E02001528","Barnsley 020",3940,20,273,2973,324,56,0,239,12,29,14,101.665,81.665,263.953,2916.1121,-56.888,51.045,31.045,268.94101,2950.762,-22.238,502.095,482.095,206.696,2650.7119,-322.28799,860.711,840.711,180.11099,2386.165,-586.836,-0.04342,80466,-0.03588,66476,-0.01629,30210,-0.00874,16220,-0.18778,348312,-0.18024,334322,-0.24958,462965,-0.24204,448975,-26575,-21599,-12236,-7260,-112417,-107441,-233539,-228563,2.19414
"5165","E02001527","Barnsley 019",2560,25,193,1872,190,61,2,171,11,24,11,62.76,37.76,189.02499,1845.517,-26.483,50.617,25.617,191.821,1853.105,-18.895,262.44501,237.44501,161.508,1712.562,-159.438,514.27301,489.27301,138.05701,1534.0179,-337.98199,-0.02621,48535,-0.01412,26115,-0.01894,35124,-0.00685,12704,-0.07998,148305,-0.06789,125885,-0.12708,235677,-0.11499,213257,-16300,-8708,-12691,-5099,-48336,-40744,-114666,-107074,2.74178
"5193","E02001589","Rotherham 012",3853,22,200,3136,231,26,6,189,9,21,13,102.772,80.772,190.995,3075.5,-60.5,45.735,23.735,196.94501,3118.5681,-17.432,471.422,449.422,141.993,2808.0071,-327.99301,809.31702,787.31702,125.995,2534.1431,-601.85699,-0.04985,92401,-0.03947,73144,-0.01883,34934,-0.00845,15677,-0.20834,386445,-0.19796,367188,-0.28713,532624,-0.27675,513367,-30205,-24138,-11786,-5719,-121301,-115234,-258867,-252800,1.97467
"5222","E02001672","Sheffield 062",2595,29,123,1618,170,14,381,219,5,20,16,71.88,42.88,119.738,1592.705,-25.295,73.255,44.255,120.678,1596.891,-21.109,293.77399,264.77399,98.361,1464.088,-153.91299,581.75403,552.75403,84.826,1292.301,-325.69901,-0.02825,52335,-0.0153,28327,-0.02182,40466,-0.00888,16458,-0.10479,194353,-0.09185,170345,-0.15434,286272,-0.14139,262264,-15083,-8391,-13822,-7130,-52131,-45439,-116196,-109504,3.16869
"5248","E02001625","Sheffield 015",2703,24,352,1381,219,16,17,646,6,29,13,69.879,45.879,345.655,1358.179,-22.821,41.86,17.86,348.45001,1373.725,-7.275,346.72198,322.72198,299.20599,1225.215,-155.785,667,643,257.298,1066.272,-314.728,-0.01752,32440,-0.01098,20318,-0.00858,15904,-0.00204,3782,-0.08009,148523,-0.07355,136401,-0.11156,206921,-0.10502,194799,-8589,-5769,-4567,-1747,-37937,-35117,-81467,-78647,3.78369
